Draw,Date,Numbers
139,2019-12-28,"20,23,39,59,60,18"
140,2019-12-25,"2,4,16,30,46,20"
141,2019-12-21,"19,31,35,50,67,14"
142,2019-12-18,"14,18,26,39,68,9"
143,2019-12-14,"3,6,12,32,64,19"
144,2019-12-11,"24,29,42,44,63,10"
145,2019-12-07,"18,42,53,62,66,25"
146,2019-12-04,"8,27,44,51,61,14"
147,2019-11-30,"15,35,42,63,68,18"
148,2019-11-27,"15,26,37,53,55,21"
149,2019-11-23,"28,35,38,61,66,23"
150,2019-11-20,"7,15,39,40,57,12"
151,2019-11-16,"14,22,26,55,63,26"
152,2019-11-13,"23,26,27,28,66,11"
153,2019-11-09,"14,17,35,38,60,25"
154,2019-11-06,"15,28,46,62,64,17"
155,2019-11-02,"3,23,32,37,58,22"
156,2019-10-30,"19,22,52,56,67,21"
157,2019-10-26,"3,20,48,54,59,4"
158,2019-10-23,"5,12,50,61,69,23"
159,2019-10-19,"14,27,29,59,65,12"
160,2019-10-16,"1,5,25,63,67,3"
161,2019-10-12,"12,29,34,53,65,23"
162,2019-10-09,"5,18,33,43,65,2"
163,2019-10-05,"6,14,36,51,54,4"
164,2019-10-02,"4,8,10,43,53,7"
165,2019-09-28,"15,23,34,51,55,4"
166,2019-09-25,"37,43,44,45,53,25"
167,2019-09-21,"1,9,22,36,68,22"
168,2019-09-18,"14,19,39,47,51,15"
169,2019-09-14,"11,27,31,36,67,11"
170,2019-09-11,"6,17,24,53,57,3"
171,2019-09-07,"11,20,41,42,56,6"
172,2019-09-04,"4,8,30,52,59,2"
173,2019-08-31,"14,41,50,56,57,18"
174,2019-08-28,"9,32,37,41,56,14"
175,2019-08-24,"5,12,20,21,47,1"
176,2019-08-21,"12,21,22,29,32,21"
177,2019-08-17,"18,21,24,30,60,20"
178,2019-08-14,"10,13,30,51,69,10"
179,2019-08-10,"35,41,44,58,59,3"
180,2019-08-07,"8,32,47,53,59,3"
181,2019-08-03,"3,6,45,66,68,13"
182,2019-07-31,"14,37,47,55,67,6"
183,2019-07-27,"1,19,31,48,61,6"
184,2019-07-24,"22,29,35,53,56,13"
185,2019-07-20,"5,26,36,64,69,19"
186,2019-07-17,"19,43,47,60,68,10"
187,2019-07-13,"13,23,32,35,68,21"
188,2019-07-10,"7,9,26,44,68,3"
189,2019-07-06,"4,8,23,46,65,1"
190,2019-07-03,"40,43,45,50,61,25"
191,2019-06-29,"13,17,24,59,62,8"
192,2019-06-26,"1,5,16,22,54,24"
193,2019-06-22,"3,6,11,14,66,21"
194,2019-06-19,"4,18,21,26,38,1"
195,2019-06-15,"8,11,14,16,49,14"
196,2019-06-12,"5,35,38,42,57,13"
197,2019-06-08,"9,13,42,48,60,18"
198,2019-06-05,"17,23,28,34,38,8"
199,2019-06-01,"6,15,34,45,52,8"
200,2019-05-29,"3,32,34,42,61,7"
201,2019-05-25,"1,2,39,43,66,2"
202,2019-05-22,"7,10,20,44,57,3"
203,2019-05-18,"2,10,25,66,67,26"
204,2019-05-15,"7,17,33,61,68,4"
205,2019-05-11,"6,8,9,37,40,26"
206,2019-05-08,"1,45,53,64,66,3"
207,2019-05-04,"6,16,23,30,61,2"
208,2019-05-01,"5,23,28,56,66,17"
209,2019-04-27,"2,29,41,45,62,6"
210,2019-04-24,"6,32,35,36,65,4"
211,2019-04-20,"3,27,30,63,65,1"
212,2019-04-17,"1,15,17,46,66,15"
213,2019-04-13,"4,17,26,32,49,10"
214,2019-04-10,"12,21,23,39,67,6"
215,2019-04-06,"15,33,43,59,60,8"
216,2019-04-03,"16,19,25,32,49,18"
217,2019-03-30,"21,52,54,64,68,4"
218,2019-03-27,"16,20,37,44,62,12"
219,2019-03-23,"24,25,52,60,66,5"
220,2019-03-20,"10,14,50,53,63,21"
221,2019-03-16,"30,34,39,53,67,11"
222,2019-03-13,"18,36,45,47,69,14"
223,2019-03-09,"5,6,45,55,59,14"
224,2019-03-06,"6,10,21,35,46,23"
225,2019-03-02,"1,19,25,27,68,21"
226,2019-02-27,"21,31,42,49,59,23"
227,2019-02-23,"4,6,14,20,32,13"
228,2019-02-20,"27,49,50,51,52,2"
229,2019-02-16,"29,30,41,48,64,1"
230,2019-02-13,"2,8,14,24,69,26"
231,2019-02-09,"1,2,3,7,39,25"
232,2019-02-06,"5,13,28,38,63,21"
233,2019-02-02,"10,17,18,43,65,13"
234,2019-01-30,"2,12,16,29,54,6"
235,2019-01-26,"8,12,20,21,32,10"
236,2019-01-23,"23,25,47,48,50,24"
237,2019-01-19,"5,8,41,65,66,20"
238,2019-01-16,"14,29,31,56,61,1"
239,2019-01-12,"7,36,48,57,58,24"
240,2019-01-09,"6,19,37,49,59,22"
241,2019-01-05,"3,7,15,27,69,19"
242,2019-01-02,"8,12,42,46,56,12"
243,2018-12-29,"12,42,51,53,62,25"
244,2018-12-26,"5,25,38,52,67,24"
245,2018-12-22,"21,28,30,40,59,26"
246,2018-12-19,"15,29,31,37,43,16"
247,2018-12-15,"8,38,43,52,55,17"
248,2018-12-12,"4,9,21,29,64,26"
249,2018-12-08,"14,32,34,46,61,10"
250,2018-12-05,"9,11,36,37,38,11"
251,2018-12-01,"10,11,47,55,58,26"
252,2018-11-28,"4,19,59,68,69,21"
253,2018-11-24,"11,33,51,56,58,18"
254,2018-11-21,"7,14,23,38,55,18"
255,2018-11-17,"6,8,20,52,68,5"
256,2018-11-14,"7,42,49,62,69,23"
257,2018-11-10,"5,29,34,53,57,24"
258,2018-11-07,"26,28,34,42,50,25"
259,2018-11-03,"15,21,24,32,65,11"
260,2018-10-31,"7,25,39,40,47,20"
261,2018-10-27,"8,12,13,19,27,4"
262,2018-10-24,"3,21,45,53,56,22"
263,2018-10-20,"16,54,57,62,69,23"
264,2018-10-17,"3,57,64,68,69,15"
265,2018-10-13,"11,14,32,43,65,15"
266,2018-10-10,"8,23,27,42,60,7"
267,2018-10-06,"1,22,27,53,67,15"
268,2018-10-03,"41,53,59,63,66,3"
269,2018-09-29,"9,17,34,59,64,22"
270,2018-09-26,"1,2,7,30,50,8"
271,2018-09-22,"24,61,63,64,69,18"
272,2018-09-19,"4,39,48,50,51,11"
273,2018-09-15,"2,18,19,24,34,3"
274,2018-09-12,"6,28,48,63,64,24"
275,2018-09-08,"3,13,20,32,33,21"
276,2018-09-05,"6,15,50,59,60,13"
277,2018-09-01,"11,54,55,61,66,9"
278,2018-08-29,"25,41,53,57,67,12"
279,2018-08-25,"20,25,54,57,63,8"
280,2018-08-22,"1,7,45,47,69,13"
281,2018-08-18,"24,34,52,61,67,16"
282,2018-08-15,"12,15,28,47,48,16"
283,2018-08-11,"5,43,56,62,68,24"
284,2018-08-08,"10,21,30,43,63,17"
285,2018-08-04,"3,11,38,44,58,2"
286,2018-08-01,"5,22,32,38,58,26"
287,2018-07-28,"22,27,46,56,65,13"
288,2018-07-25,"2,18,41,44,64,26"
289,2018-07-21,"9,23,56,58,68,1"
290,2018-07-18,"1,10,27,28,36,12"
291,2018-07-14,"22,41,42,49,67,11"
292,2018-07-11,"19,21,27,46,47,7"
293,2018-07-07,"1,10,43,45,64,22"
294,2018-07-04,"4,7,15,41,44,10"
295,2018-06-30,"3,9,20,42,61,24"
